,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
125431,201401060089,2014,1,6,Ukraine,Eastern Europe,Kiev,Kiev,50.442946,30.629354,"01/06/2014: A vehicle exploded in Darnytsia area, Kiev city, Kiev municipality, Ukraine. There were no reported casualties in the blast. No group claimed responsibility for the incident.",Unknown,Unknown,Explosives/Bombs/Dynamite,0,0
126059,201401210063,2014,1,21,Ukraine,Eastern Europe,Kiev,Kiev,50.4501,30.5234,"01/21/2014: Assailants abducted Dmitry Bulatov from Kiev city, Kiev municipality, Ukraine. Bulatov, a journalist and activist, was beaten and otherwise wounded before being released on January 30, 2014. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Melee,0,1
126501,201401310052,2014,1,31,Ukraine,Eastern Europe,Kiev,Kiev,50.447886,30.528839,"01/31/2014: Assailants abducted Nikita Perfilyev and Anton Zakharov in Kiev city, Kiev municipality, Ukraine. The two victims, a journalist and cameraman for KazanFirst Online News Portal, were beaten and otherwise injured before being released on or around February 2, 2014. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Melee,0,2
126758,201402060026,2014,2,6,Ukraine,Eastern Europe,Kiev,Kiev,50.4501,30.5234,"02/06/2014: An explosive device detonated at the House of Trade Unions building in Kiev city, Kiev municipality, Ukraine. One person was injured in the blast. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,1
126805,201402070032,2014,2,7,Ukraine,Eastern Europe,Kharkiv,Kharkiv,49.9935,36.230383,"02/07/2014: An assailant attempted to hijack an airliner in Kharkiv city, Kharkiv oblast, Ukraine. The assailant, a Ukrainian, had tried to divert the plane to Sochi city, Russia; however, the plane landed safely in Istanbul city, Turkey. No group claimed responsibility for the incident.",Airports & Aircraft,Anti-Yanukovych extremists,Fake Weapons,0,0
127032,201402120041,2014,2,12,Ukraine,Eastern Europe,Kiev,Kiev,50.431287,30.533786,"02/12/2014: Assailants threw Molotov cocktails at the police directorate for Pecherskyy neighborhood, Kiev city, Kiev city municipality, Ukraine. No one was injured in the blast; however, the building caught on fire. No group claimed responsibility for the incident.",Police,Unknown,Incendiary,0,0
127284,201402180014,2014,2,18,Ukraine,Eastern Europe,Kiev,Kiev,50.4501,30.5234,"02/18/2014: Assailants set fire to the Trade Unions House in Kiev city, Kiev municipality, Ukraine. There were no reports of casualties in the attack, but the building was damaged. No group claimed responsibility for the attack; however, the Ukrainian Interior Ministry attributed the incident to the Right Sector.",Private Citizens & Property,Right Sector,Incendiary,0,0
127290,201402180021,2014,2,18,Ukraine,Eastern Europe,Dnipropetrovsk,Dnipropetrovsk,48.470282,35.03337,"02/18/2014: Assailants attempted to set fire to a Ukrainian Democratic Alliance for Reform (UDAR) office in Dnipropetrovsk city, Dnipropetrovsk oblast, Ukraine. This was one of two such attacks on UDAR offices in Dnipropetrovsk oblast on this night. No casualties were reported and no group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Incendiary,0,0
127292,201402180023,2014,2,19,Ukraine,Eastern Europe,Dnipropetrovsk,Kryvyi Rih,47.90938,33.391125,"02/19/2014: Assailants attempted to set fire to a Ukrainian Democratic Alliance for Reform (UDAR) office in Kryvyi Rih city, Dnipropetrovsk oblast, Ukraine. This was one of two such attacks on UDAR offices in Dnipropetrovsk oblast on this night. No casualties were reported and no group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Incendiary,0,0
127344,201402190022,2014,2,19,Ukraine,Eastern Europe,Kiev,Kiev,50.4501,30.5234,"02/19/2014: Assailants attacked Vyacheslav Veremyi in Kiev city, Kiev oblast, Ukraine. Sources indicated that Veremyi, a journalist with the Vesti newspaper, was killed after showing his press credentials. At least two other people were also wounded in the attack. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Firearms,1,2
127352,201402190035,2014,2,19,Ukraine,Eastern Europe,Kharkiv,Kharkiv,49.9935,36.230383,"02/19/2014: Assailants attempted to set fire to a Svoboda Party office in Kharkiv city, Kharkiv oblast, Ukraine. No casualties were reported. This was one of two such attacks on Svoboda Party offices in Ukraine on this day. No group claimed responsibility for the incidents.",Private Citizens & Property,Unknown,Incendiary,0,0
127353,201402190036,2014,2,19,Ukraine,Eastern Europe,Poltava,Poltava,49.588267,34.551417,"02/19/2014: Assailants threw Molotov cocktails into a Svoboda Party office in Poltava city, Poltava oblast, Ukraine. No casualties were reported. This was one of two such attacks on Svoboda Party offices in Ukraine on this day. No group claimed responsibility for the incidents.",Private Citizens & Property,Unknown,Incendiary,0,0
127354,201402190037,2014,2,19,Ukraine,Eastern Europe,Kherson,Kherson,46.635417,32.616867,"02/19/2014: Three explosive devices detonated outside of a Party of the Defenders of the Fatherland office in Kherson city, Kherson oblast, Ukraine. No casualties were reported. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Incendiary,0,0
127447,201402200060,2014,2,20,Ukraine,Eastern Europe,Odessa,Odessa,46.48153,30.72315,"02/20/2014: Assailants threw petrol bombs at a local branch office for the Party of the Defenders of the Fatherland in Odessa city, Odessa oblast, Ukraine. The device damaged a window, but no casualties were reported. No group claimed responsibility for the attack.",Private Citizens & Property,Unknown,Incendiary,0,0
127754,201402260028,2014,2,26,Ukraine,Eastern Europe,Poltava,Komsomolsk,49.015066999999995,33.646497,"02/26/2014: Assailants attempted to set fire to the home of a pro-government Party of Regions member in Komsomolsk town, Poltava oblast, Ukraine. No casualties were reported. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Incendiary,0,0
127800,201402260091,2014,2,25,Ukraine,Eastern Europe,Dnipropetrovsk,Pyatykhatky,48.413610999999996,33.702778,"02/25/2014: Assailants threw Molotov cocktails at the home of Volodymyr Chepurko in Pyatykhatky district, Dnipropetrovsk oblast, Ukraine. Chepurko, the chairman of the Party of Regions' district branch, was unharmed and no other casualties were reported. No group claimed responsibility for the incident.",Government (General),Unknown,Incendiary,0,0
127810,201402270016,2014,2,27,Ukraine,Eastern Europe,Crimea,Simferopol,44.951679,34.104599,"02/27/2014: Approximately 50 armed assailants took control of the Crimean Parliament and the Crimean Council of Ministers buildings in Simferopol city, Crimea region, Ukraine, No casualties were reported. No group claimed responsibility for the attack; however, authorities attributed the incident to pro-Russian militias.",Government (General),Pro-Russia Militia,Firearms,0,0
127856,201402280017,2014,2,28,Ukraine,Eastern Europe,Crimea,Unknown,45.283812,34.325856,"02/28/2014: Assailants destroyed the cables of telecommunication nodes in Crimea republic, Ukraine. Telephone and data services were disrupted as a result of the attack. No group claimed responsibility for the incident.",Telecommunication,Unknown,Unknown,0,0
128351,201403090046,2014,3,9,Ukraine,Eastern Europe,Crimea,Armiansk,46.115898,33.688685,"03/09/2014: Three female journalists, Kateryna Butko, Alexandra Ryazantseva and Olena Maksymenko, were kidnapped from an unofficial checkpoint in Armyansk municipality, Crimea autonomous republic, Ukraine. The journalists were then taken to Sevastopol and released on March 11, 2014. No group claimed responsibility; however, a source attributed the attack to Russian Unity.",Journalists & Media,Russian Unity,Unknown,0,0
128352,201403090047,2014,3,9,Ukraine,Eastern Europe,Crimea,Armiansk,46.115898,33.688685,"03/09/2014: Assailants abducted three journalists of Glavkom/Ukrainskiy Tizhden from an unofficial checkpoint in Armyansk municipality, Crimea autonomous republic, Ukraine. One of the hostages was released on March 10, 2014, while the other two journalists were released on March 11, 2014. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Firearms,0,0
128627,201403150046,2014,3,15,Ukraine,Eastern Europe,Kharkiv,Kharkiv,49.613502000000004,36.229684000000006,"03/15/2014: An explosive device detonated at a Kharkiv Karazin National University building in Kharkiv city, Kharkiv oblast, Ukraine. At least three people, including a professor and two students, were wounded in the blast. No group claimed responsibility for the incident.",Educational Institution,Unknown,Explosives/Bombs/Dynamite,0,3
128645,201403150068,2014,3,15,Ukraine,Eastern Europe,Sevastopol,Sevastopol,44.606328999999995,33.524722,"03/15/2014: Assailants abducted Father Mykola Kvych in Sevastopol city, Crimea peninsula, Ukraine. Kvych, the priest of a Ukrainian Greek Catholic church, was released on March 17, 2014. No group claimed responsibility for the incident.",Religious Figures/Institutions,Unknown,Firearms,0,0
128653,201403150076,2014,3,15,Ukraine,Eastern Europe,Sevastopol,Sevastopol,44.608477,33.521692,"03/15/2014: Assailants abducted Gennadiy Basov, the chair of the Russian Bloc, in Sevastopol city, Crimea peninsula, Ukraine. The outcome of the abduction is unknown. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Unknown,0,0
128768,201403180047,2014,3,18,Ukraine,Eastern Europe,Crimea,Simferopol,44.948623,34.106407,"03/18/2014: Assailants opened fire on a military base in Simferopo city, Crimea, Ukraine. One soldier was killed and one other was wounded in the attack. No group claimed responsibility for the incident; however, authorities suspected that the pro-Russia militia was involved in the attack.",Military,Pro-Russia Militia,Firearms,1,1
128777,201403180062,2014,3,18,Ukraine,Eastern Europe,Crimea,Bakhchysari,44.745714,33.859567999999996,"03/18/2014: Assailants abducted Levko Steck in Bakhchysari city, Crimea, Ukraine. Steck, a journalist, was released the same day. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Firearms,0,0
129600,201404040062,2014,4,4,Ukraine,Eastern Europe,Cherkasy,Korsun-Shevchenkisvky,49.415036,31.263602000000002,"04/04/2014: Assailants kidnapped Vasily Sergiyenko from his home in Korsun-Shevchenkisvky city, Cherkasy oblast, Ukraine. Sergiyenko, a journalist and activist, was found dead in the woods near Vygrayev village, Ukraine on April 5, 2014. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Melee,1,0
129718,201404060068,2014,4,6,Ukraine,Eastern Europe,Luhansk,Luhansk,48.56162,39.315353,"04/06/2014: Assailants attacked and barricaded the state security service offices in Luhansk city, Luhansk Oblast, Ukraine. At least 60 people were held hostage and 56 of them were released on April 9, 2014. The fate of the remaining hostages is unknown. No group claimed responsibility; however, sources attributed the attack to a pro-Russia militia.",Government (General),Pro-Russia Militia,Explosives/Bombs/Dynamite,0,0
129763,201404070103,2014,4,7,Ukraine,Eastern Europe,Kharkiv,Kharkiv,49.97578,36.268193,"04/07/2014: Masked assailants attacked the Kharkiv News Agency (ATN) newsroom in Kharkiv city, Kharkiv oblast, Ukraine. No one was injured; however, studio equipment, furniture and computers were damaged in the attack. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Unknown,0,0
129764,201404070104,2014,4,7,Ukraine,Eastern Europe,Donetsk,Donetsk,48.001715000000004,37.858422999999995,"04/07/2014: Assailants armed with Kalashnikovs attempted to storm Donetsk OGTRK, a regional broadcasting station newsroom, in Donetsk city, Donetsk oblast, Ukraine. Shots were fired but there were no reports of casualties or damages in the attack. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Firearms,0,0
129765,201404070105,2014,4,7,Ukraine,Eastern Europe,Luhansk,Luhansk,48.56162,39.315353,"04/07/2014: Masked assailants fought with security in an attempt to storm the Irta Television Channel television newsroom in Luhansk city, Luhansk oblast, Ukraine. No one was injured by the attack. No group claimed responsibility for the incident.",Journalists & Media,Unknown,Unknown,0,0
130015,201404120033,2014,4,12,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.854721999999995,37.605556,"04/12/2014: Assailants stormed a police station in Slavyansk city, Donetsk oblast, Ukraine. One police officer was killed and several people were abducted in the attack. The outcome of the abduction is unknown. This was one of two attacks carried out by the Donetsk People's Republic on security buildings in Slovyansk city on April 12, 2014. The Donetsk People's Republic claimed responsibility for the incident.",Police,Donetsk People's Republic,Firearms,1,0
130020,201404120038,2014,4,12,Ukraine,Eastern Europe,Donetsk,Krasnyi Lyman,48.987424,37.807731,"04/12/2014: Assailants opened fire on a police station in Krasnyi Liman city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. The Donetsk People's Republic claimed responsibility for the incident.",Police,Donetsk People's Republic,Firearms,0,0
130023,201404120042,2014,4,12,Ukraine,Eastern Europe,Donetsk,Donetsk,48.001715000000004,37.858422999999995,"04/12/2014: Assailants opened fire on the Donetsk Chemical Plant in Donetsk city, Donetsk oblast, Ukraine. One law officer was wounded in the attack. No group claimed responsibility for the incident.",Business,Unknown,Firearms,0,1
130029,201404120057,2014,4,12,Ukraine,Eastern Europe,Donetsk,Kramatorsk,48.728194,37.573184000000005,"04/12/2014: Assailants opened fire on a police station in Kramatorsk city, Donetsk oblast, Ukraine. There were no reported casualties; however, the building was damaged in the attack. The Donetsk People's Republic claimed responsibility for the incident.",Police,Donetsk People's Republic,Firearms,0,0
130031,201404120059,2014,4,12,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/12/2014: Assailants seized the security service headquarters building in Slovyansk city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. This was one of two attacks carried out by the Donetsk People's Republic on security buildings in Slovyansk city on April 12, 2014. The Donetsk People's Republic claimed responsibility for the incident.",Government (General),Donetsk People's Republic,Firearms,0,0
130032,201404120060,2014,4,12,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/12/2014: Assailants attempted to seize a regional prosecutor's office in Slovyansk city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Donetsk People's Republic.",Government (General),Donetsk People's Republic,Firearms,0,0
130034,201404120063,2014,4,12,Ukraine,Eastern Europe,Donetsk,Artemivsk,48.598728,37.997945,"04/12/2014: Assailants seized a town hall in Artemivsk city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Unknown,0,0
130035,201404120085,2014,4,12,Ukraine,Eastern Europe,Donetsk,Donetsk,48.015964000000004,37.802949,"04/12/2014: Assailants set fire to the vehicle of journalist Oleksiy Matsuka in Donetsk, Ukraine. There were no reported casualties. No group claimed responsibility for the incident; however, sources suspected that the Donetsk People's Republic carried out the attack in retaliation for Matsuka's reporting on the armed group.",Journalists & Media,Donetsk People's Republic,Incendiary,0,0
130095,201404130075,2014,4,13,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/13/2014: Assailants abducted Artem Deynega after he was spotted filming events in the street from his balcony in Slovyansk city, Donetsk oblast, Ukraine. Deynega, a civilian, was released unharmed on May 6, 2014. No group claimed responsibility for the incident; however, sources attributed the attack to Donetsk People's Republic.",Private Citizens & Property,Donetsk People's Republic,Unknown,0,0
130098,201404130078,2014,4,13,Ukraine,Eastern Europe,Donetsk,Torez,48.020517,38.628413,"04/13/2014: Assailants assaulted Igor Abyzov in Torez city, Donetsk oblast, Ukraine. Abyzov, the Director of the Pro Gorod Newspaper, was wounded in the attack. No group claimed responsibility; however, sources attributed the incident to the Donetsk People's Republic.",Journalists & Media,Donetsk People's Republic,Melee,0,1
130102,201404130085,2014,4,13,Ukraine,Eastern Europe,Donetsk,Makiivka,48.045988,37.966642,"04/13/2014: Assailants seized a town hall in Makiivka city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Unknown,0,0
130103,201404130086,2014,4,13,Ukraine,Eastern Europe,Donetsk,Yenakiieve,48.216721,38.199919,"04/13/2014: Assailants seized a prosecutor's office in Yenakieve city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. This was one of two attacks carried out by the Donetsk People's Republic in Yenakieve city on April 13, 2014. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic .",Government (General),Donetsk People's Republic,Unknown,0,0
130105,201404130088,2014,4,13,Ukraine,Eastern Europe,Donetsk,Yenakiieve,48.216771,38.202366,"04/13/2014: Assailants seized a police building in Yenakiieve city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. This was one of two attacks carried out by the same group in Yenakiieve city on this day. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Police,Donetsk People's Republic,Unknown,0,0
130145,201404140050,2014,4,14,Ukraine,Eastern Europe,Donetsk,Horlivka,48.307958,38.031414,"04/14/2014: Assailants opened fire on a police building in Horlivka city, Donetsk oblast, Ukraine. At least three people were wounded in the attack. The Donetsk People's Republic claimed responsibility for the incident.",Police,Donetsk People's Republic,Firearms,0,3
130159,201404140073,2014,4,14,Ukraine,Eastern Europe,Donetsk,Khartsyzk,48.043203999999996,38.139396000000005,"04/14/2014: Assailants seized a town hall in Khartsyzk city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Unknown,0,0
130160,201404140074,2014,4,14,Ukraine,Eastern Europe,Donetsk,Zhdanivka,48.146396,38.254262,"04/14/2014: Assailants seized a town hall in Zhdanivka city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Unknown,0,0
130161,201404140075,2014,4,14,Ukraine,Eastern Europe,Donetsk,Kirovske,48.15,38.366667,"04/14/2014: Assailants seized a town hall in Kirovske city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Unknown,0,0
130234,201404150104,2014,4,15,Ukraine,Eastern Europe,Donetsk,Kramatorsk,48.705545,37.627472,"04/15/2014: Assailants attacked General Vasyl Krutov outside an airport in Kramatorsk city, Donetsk oblast, Ukraine. Krutov, the Anti-Terrorist Unit Chief, was unharmed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Melee,0,0
130235,201404150105,2014,4,15,Ukraine,Eastern Europe,Donetsk,Horlivka,48.308364000000005,38.033278,"04/15/2014: Assailants stormed a city hall in Horlivka city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident.",Government (General),Unknown,Firearms,0,0
130239,201404150110,2014,4,15,Ukraine,Eastern Europe,Donetsk,Torez,48.017534999999995,38.63341,"04/15/2014: Assailants seized a town hall in Torez city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Unknown,0,0
130240,201404150111,2014,4,15,Ukraine,Eastern Europe,Crimea,Simferopol,44.952223,34.102525,"04/00/2014: Sometime between April 1 and April 30, 2014, an assailant set fire to the Chukurcha Mosque in Simferopol, Crimea, Ukraine. There were no reported casualties. In July 2016, Maxim Filatov was convicted of carrying out the attack.",Religious Figures/Institutions,Unknown,Incendiary,0,0
130273,201404160074,2014,4,16,Ukraine,Eastern Europe,Donetsk,Mariupol,47.103063,37.542818,"04/16/2014: Assailants threw incendiary devices and opened fire on a Ukrainian National Guard base in Mariupol city, Donetsk oblast, Ukraine. Three assailants were killed and 13 others were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Military,Donetsk People's Republic,Firearms,3,13
130274,201404160075,2014,4,16,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/16/2014: Assailants abducted Serhiy Lefter in Slaviansk city, Donetsk oblast, Ukraine. Lefter, a Ukrainian journalist and independent observer for the Open Dialogue Foundation, was released on May 6, 2014. No group claimed responsibility for the incident; however, sources attributed the abduction to the Donetsk People's Republic.",Journalists & Media,Donetsk People's Republic,Unknown,0,0
130278,201404160079,2014,4,15,Ukraine,Eastern Europe,Luhansk,Krasnyi Luch,48.133333,38.933333000000005,"04/15/2014: Assailants abducted two Ukrainian soldiers in Krasnyi Luch city, Luhansk oblast, Ukraine. The outcome of the abduction is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the pro-Russia militia.",Military,Pro-Russia Militia,Unknown,0,0
130337,201404170082,2014,4,17,Ukraine,Eastern Europe,Donetsk,Horlivka,48.307958,38.031414,"04/17/2014: Assailants abducted Volodymyr Rybak in Horlivka city, Donetsk oblast, Ukraine. Rybak, a city council member, was found dead on April 22, 2014. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Melee,1,0
130338,201404170083,2014,4,17,Ukraine,Eastern Europe,Donetsk,Torez,48.016667,38.633333,"04/17/2014: Assailants set the Pro Gorod Newspaper office on fire in Torez city, Donetsk oblast, Ukraine. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Journalists & Media,Donetsk People's Republic,Incendiary,0,0
130367,201404180037,2014,4,25,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/25/2014: Assailants abducted eight Organization for Security and Cooperation in Europe (OSCE) observers and four Ukrainian military escorts near Slovyansk town, Donetsk oblast, Ukraine. One victim was released on April 27, 2014 due to health problems and the remaining 11 were released on May 3, 2014. The Donetsk People's Republic claimed responsibility for the incident.",Government (Diplomatic),Donetsk People's Republic,Firearms,0,0
130378,201404180056,2014,4,17,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/17/2014: Assailants held Nelya Shtepain hostage in Slovyansk city, Donetsk oblast, Ukraine. Shtepain, the mayor of Donetsk oblast, was released on April 22, 2014. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Firearms,0,0
130408,201404190045,2014,4,19,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/19/2014: Assailants abducted Lieutenant Colonel Oleg Prokhorov, the Slovyansk Chief of Police, in Slovyansk city, Donetsk oblast, Ukraine. The outcome of the abduction is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Police,Donetsk People's Republic,Unknown,0,0
130438,201404200036,2014,4,20,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/20/2014: Assailants abducted Irma Krat in Slovyansk city, Donetsk oblast, Ukraine. Krat, a journalist, was successfully rescued unharmed on July 5, 2014. The Donetsk People's Republic claimed responsibility for the incident and stated that the abduction was carried out in response to Krat's involvement in the abuse of riot police officers and a Russian journalist during protests.",Journalists & Media,Donetsk People's Republic,Unknown,0,0
130484,201404210048,2014,4,21,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/21/2014: Assailants abducted five journalists, including Simon Ostrovsky, at a checkpoint in Slovyansk city, Donetsk oblast, Ukraine. Four of the journalists were released the same day. Ostrovsky, a United States (US) journalist, was assaulted and released on April 24, 2014. The Donetsk People's Republic claimed responsibility for the incident and published a poster of Simon Ostrovsky stating that he was wanted for having distorted the reality of the local conflict.",Journalists & Media,Donetsk People's Republic,Firearms,0,1
130492,201404210072,2014,4,21,Ukraine,Eastern Europe,Donetsk,Kramatorsk,48.728194,37.573184000000005,"04/21/2014: Assailants attacked a police building in Kramatorsk city, Donetsk oblast, Ukraine. Vitaliy Kolupai, the police chief, was abducted and the building was damaged in the attack. The outcome of the abduction is unknown. The Donetsk People's Republic claimed responsibility for the incident.",Police,Donetsk People's Republic,Firearms,0,0
130493,201404210073,2014,4,21,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/21/2014: Assailants abducted Paul Gogo, Kossimo Attanasio, and Dmitry Galko while they were filming events in Slovyansk city, Donetsk oblast, Ukraine. The three journalists were released the same day; however, their equipment, money and personal documentation were stolen in the attack. No group claimed responsibility for the incident; however, sources attributed the abduction to the Donetsk People's Republic.",Journalists & Media,Donetsk People's Republic,Unknown,0,0
130536,201404220062,2014,4,22,Ukraine,Eastern Europe,Donetsk,Horlivka,48.300831,38.025755,"04/22/2014: Assailants abducted Yevegeny Gapich and his brother in Horlivka city, Donetsk oblast, Ukraine. Gapich and his brother were released on April 25, 2014. No group claimed responsibility for the incident; however, sources attributed the abduction to the Donetsk People's Republic.",Journalists & Media,Donetsk People's Republic,Unknown,0,0
130537,201404220063,2014,4,22,Ukraine,Eastern Europe,Donetsk,Kostiantynivka,48.528034000000005,37.705422999999996,"04/22/2014: Assailants threw incendiary devices at the Provintsia newspaper office in Kostyantynivka city, Donetsk oblast, Ukraine. There were no reported casualties; however, the office was damaged in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Donetsk People's Republic.",Journalists & Media,Donetsk People's Republic,Incendiary,0,0
130547,201404220079,2014,4,22,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.852889000000005,37.605518,"04/22/2014: Assailants abducted Yuriy Zahrebelny in Slovyansk city, Donetsk oblast, Ukraine. Zahrebelny, a prosecutor, was released the same day. No group claimed responsibility for the incident; however, sources attributed the abduction to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Firearms,0,0
130548,201404220080,2014,4,22,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.854751,37.678724,"04/22/2014: Assailants abducted Yakymov in Slovyansk city, Donetsk oblast, Ukraine. Yakymov, the head of Slovyansk Medical Forensics Service, was released the same day. No group claimed responsibility for the incident; however, sources attributed the abduction to the Donetsk People's Republic.",Police,Donetsk People's Republic,Unknown,0,0
130589,201404230055,2014,4,23,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/23/2014: Assailants abducted Vadym Sukhonos, a city council member, in Slovyansk city, Donetsk oblast, Ukraine. The outcome of the abduction is unknown. No group claimed responsibility for the incident; however, sources attributed the abduction to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Unknown,0,0
130646,201404250038,2014,4,25,Ukraine,Eastern Europe,Odessa,Odessa,46.469431,30.727923999999998,"04/25/2014: Assailants threw a grenade at a pro-government militia checkpoint near Odessa city, Odessa oblast, Ukraine. Seven people, including one police officer, were wounded in the blast. No group claimed responsibility for the incident.",Terrorists/Non-State Militia,Unknown,Explosives/Bombs/Dynamite,0,7
130647,201404250039,2014,4,25,Ukraine,Eastern Europe,Donetsk,Kramatorsk,48.728194,37.573184000000005,"04/25/2014: Assailants launched a rocket propelled grenade and opened fire on a Ukrainian military helicopter while it was preparing for takeoff in Kramatorsk city, Donetsk oblast, Ukraine. The pilot was wounded and the helicopter was damaged in the blast. The Donetsk People's Republic claimed responsibility for the attack.",Military,Donetsk People's Republic,Explosives/Bombs/Dynamite,0,1
130648,201404250040,2014,4,24,Ukraine,Eastern Europe,Donetsk,Artemivsk,48.598667,37.998037,"04/24/2014: Assailants launched rocket propelled grenades and opened fire on a military weapons depot in Artemivsk city, Donetsk oblast, Ukraine. Several people, including one soldier, were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",Military,Donetsk People's Republic,Explosives/Bombs/Dynamite,0,0
130663,201404250074,2014,4,25,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.853113,37.682883000000004,"04/25/2014: Assailants kidnapped Pavlo Yurov and Denys Gryschuk in Slovyansk city, Donetsk oblast, Ukraine. Both Yurov, a theatre director, and Gryschuk, an art curator, were injured during the abduction but were successfully rescued on July 4, 2014. The Donetsk People's Republic claimed responsibility for the incident.",Private Citizens & Property,Donetsk People's Republic,Unknown,0,2
130697,201404260062,2014,4,26,Ukraine,Eastern Europe,Donetsk,Slovyansk,48.8532,37.6053,"04/26/2014: Assailants attacked a military arms depot near Slovyansk city, Donetsk oblast, Ukraine. There were an unknown number of casualties in the attack. No group claimed responsibility for the incident.",Military,Unknown,Firearms,0,0
130699,201404260071,2014,4,26,Ukraine,Eastern Europe,Donetsk,Kramatorsk,48.738966999999995,37.58435,"04/26/2014: Assailants abducted Lieutenant Colonel Rostyslav Kyjashko, Major Serhiy Potiomsky, and Captain Eugeniy Verinsky, three Alpha Group officers, in Kramatorsk city, Donetsk oblast, Ukraine. All three hostages were released unharmed on May 7, 2014. No group claimed responsibility; however, sources attributed the attack to the Donetsk People's Republic.",Government (General),Donetsk People's Republic,Melee,0,0
